NO,KODE,NAMA,JENJANG,DAYA TAMPUNG 2022,PEMINAT 2021,JENIS PORTOFOLIO
1,3611526,MANAJEMEN INFORMASI KESEHATAN,D4,18.0,309.0,Tidak Ada
2,3611534,TEKNOLOGI REKAYASA PERANGKAT LUNAK,D4,29.0,173.0,Tidak Ada
3,3611542,TEKNOLOGI REKAYASA ELEKTRO,D4,22.0,95.0,Tidak Ada
4,3611557,TEKNOLOGI REKAYASA INSTRUMENTASI DAN KONTROL,D4,15.0,28.0,Tidak Ada
5,3611565,TEKNOLOGI REKAYASA INTERNET,D4,29.0,75.0,Tidak Ada
6,3611573,TEKNIK PENGELOLAAN DAN PEMELIHARAAN INFRASTRUKTUR SIPIL,D4,18.0,45.0,Tidak Ada
7,3611581,TEKNOLOGI REKAYASA MESIN,D4,18.0,129.0,Tidak Ada
8,3611596,TEKNIK PENGELOLAAN DAN PERAWATAN ALAT BERAT,D4,18.0,109.0,Tidak Ada
9,3611607,PENGELOLAAN HUTAN,D4,27.0,88.0,Tidak Ada
10,3611615,TEKNOLOGI VETERINER,D4,27.0,23.0,Tidak Ada
11,3611623,PENGEMBANGAN PRODUK AGROINDUSTRI,D4,27.0,37.0,Tidak Ada
12,3611631,TEKNOLOGI SURVEI DAN PEMETAAN DASAR,D4,18.0,45.0,Tidak Ada
13,3611646,SISTEM INFORMASI GEOGRAFIS,D4,18.0,41.0,Tidak Ada
14,3611654,TEKNOLOGI REKAYASA PELAKSANAAN BANGUNAN SIPIL,D4,18.0,46.0,Tidak Ada
15,3611012,BIOLOGI,S1,68.0,330.0,Tidak Ada
16,3611027,FARMASI,S1,72.0,2.061,Tidak Ada
17,3611035,GEOGRAFI LINGKUNGAN,S1,36.0,172.0,Tidak Ada
18,3611043,KARTOGRAFI DAN PENGINDERAAN JAUH,S1,30.0,130.0,Tidak Ada
19,3611051,PEMBANGUNAN WILAYAH,S1,24.0,206.0,Tidak Ada
20,3611066,KEDOKTERAN,S1,53.0,1.588,Tidak Ada
21,3611074,ILMU KEPERAWATAN,S1,36.0,533.0,Tidak Ada
22,3611082,GIZI KESEHATAN,S1,30.0,539.0,Tidak Ada
23,3611097,KEDOKTERAN GIGI,S1,45.0,590.0,Tidak Ada
24,3611101,KEDOKTERAN HEWAN,S1,60.0,359.0,Tidak Ada
25,3611155,FISIKA,S1,21.0,53.0,Tidak Ada
26,3611163,KIMIA,S1,42.0,200.0,Tidak Ada
27,3611171,MATEMATIKA,S1,24.0,270.0,Tidak Ada
28,3611186,ILMU KOMPUTER,S1,24.0,626.0,Tidak Ada
29,3611194,STATISTIKA,S1,18.0,430.0,Tidak Ada
30,3611205,GEOFISIKA,S1,18.0,107.0,Tidak Ada
31,3611213,ELEKTRONIKA DAN INSTRUMENTASI,S1,21.0,108.0,Tidak Ada
32,3611221,AGRONOMI,S1,24.0,95.0,Tidak Ada
33,3611244,ILMU TANAH,S1,21.0,84.0,Tidak Ada
34,3611252,EKONOMI PERTANIAN DAN AGRIBISNIS,S1,24.0,249.0,Tidak Ada
35,3611267,PROTEKSI TANAMAN (ILMU HAMA DAN PENYAKIT TUMBUHAN),S1,21.0,72.0,Tidak Ada
36,3611275,PENYULUHAN DAN KOMUNIKASI PERTANIAN,S1,12.0,77.0,Tidak Ada
37,3611283,AKUAKULTUR (BUDIDAYA PERIKANAN),S1,23.0,61.0,Tidak Ada
38,3611291,TEKNOLOGI HASIL PERIKANAN,S1,23.0,54.0,Tidak Ada
39,3611302,MANAJEMEN SUMBERDAYA AKUATIK (MANAJEMEN SUMBER DAYA PERIKANAN),S1,23.0,65.0,Tidak Ada
40,3611317,MIKROBIOLOGI PERTANIAN,S1,11.0,67.0,Tidak Ada
41,3611325,ILMU DAN INDUSTRI PETERNAKAN,S1,90.0,324.0,Tidak Ada
42,3611333,ARSITEKTUR,S1,24.0,566.0,Tidak Ada
43,3611341,PERENCANAAN WILAYAH DAN KOTA,S1,24.0,266.0,Tidak Ada
44,3611356,TEKNIK GEODESI,S1,42.0,216.0,Tidak Ada
45,3611364,TEKNIK GEOLOGI,S1,42.0,205.0,Tidak Ada
46,3611372,TEKNIK KIMIA,S1,45.0,400.0,Tidak Ada
47,3611387,TEKNIK ELEKTRO,S1,33.0,340.0,Tidak Ada
48,3611395,TEKNIK MESIN,S1,45.0,328.0,Tidak Ada
49,3611406,TEKNIK SIPIL,S1,54.0,684.0,Tidak Ada
50,3611414,TEKNIK NUKLIR,S1,15.0,127.0,Tidak Ada
51,3611422,TEKNIK FISIKA,S1,30.0,116.0,Tidak Ada
52,3611437,TEKNIK INDUSTRI,S1,33.0,401.0,Tidak Ada
53,3611445,TEKNIK PERTANIAN,S1,30.0,149.0,Tidak Ada
54,3611453,TEKNOLOGI PANGAN DAN HASIL PERTANIAN,S1,33.0,320.0,Tidak Ada
55,3611461,TEKNOLOGI INDUSTRI PERTANIAN,S1,33.0,175.0,Tidak Ada
56,3611476,HIGIENE GIGI,S1,15.0,90.0,Tidak Ada
57,3611484,KEHUTANAN,S1,75.0,449.0,Tidak Ada
58,3611492,TEKNOLOGI INFORMASI,S1,33.0,771.0,Tidak Ada
59,3611503,ILMU AKTUARIA,S1,15.0,280.0,Tidak Ada
60,3611511,TEKNIK BIOMEDIS,S1,18.0,218.0,Tidak Ada
61,3611662,TEKNIK INFRASTRUKTUR LINGKUNGAN,S1,12.0,0.0,Tidak Ada
