NO,KODE,NAMA,JENJANG,DAYA TAMPUNG 2022,PEMINAT 2021,JENIS PORTOFOLIO
1,3612247,MANAJEMEN DAN PENILAIAN PROPERTI,D4,24.0,48.0,Tidak Ada
2,3612255,PERBANKAN,D4,24.0,146.0,Tidak Ada
3,3612263,AKUNTANSI SEKTOR PUBLIK,D4,27.0,97.0,Tidak Ada
4,3612271,PEMBANGUNAN EKONOMI KEWILAYAHAN,D4,24.0,48.0,Tidak Ada
5,3612286,PENGELOLAAN ARSIP DAN REKAMAN INFORMASI,D4,18.0,183.0,Tidak Ada
6,3612294,BAHASA INGGRIS,D4,18.0,136.0,Tidak Ada
7,3612305,BISNIS PERJALANAN WISATA,D4,27.0,385.0,Tidak Ada
8,3612015,ILMU EKONOMI,S1,27.0,404.0,Tidak Ada
9,3612023,MANAJEMEN,S1,39.0,1.934,Tidak Ada
10,3612031,AKUNTANSI,S1,45.0,1.274,Tidak Ada
11,3612046,FILSAFAT,S1,45.0,236.0,Tidak Ada
12,3612054,HUKUM,S1,99.0,1.42,Tidak Ada
13,3612062,ANTROPOLOGI BUDAYA,S1,30.0,193.0,Tidak Ada
14,3612077,ARKEOLOGI,S1,18.0,170.0,Tidak Ada
15,3612085,SEJARAH,S1,18.0,128.0,Tidak Ada
16,3612093,SASTRA ARAB,S1,21.0,340.0,Tidak Ada
17,3612104,BAHASA DAN SASTRA INDONESIA,S1,29.0,238.0,Tidak Ada
18,3612112,SASTRA INGGRIS,S1,21.0,396.0,Tidak Ada
19,3612127,SASTRA JAWA,S1,14.0,68.0,Tidak Ada
20,3612135,SASTRA PRANCIS,S1,14.0,74.0,Tidak Ada
21,3612143,SASTRA JEPANG,S1,14.0,236.0,Tidak Ada
22,3612151,BAHASA DAN KEBUDAYAAN KOREA,S1,20.0,668.0,Tidak Ada
23,3612166,MANAJEMEN DAN KEBIJAKAN PUBLIK,S1,23.0,265.0,Tidak Ada
24,3612174,ILMU HUBUNGAN INTERNASIONAL,S1,24.0,1.051,Tidak Ada
25,3612182,POLITIK DAN PEMERINTAHAN,S1,23.0,225.0,Tidak Ada
26,3612197,PEMBANGUNAN SOSIAL DAN KESEJAHTERAAN,S1,23.0,313.0,Tidak Ada
27,3612201,ILMU KOMUNIKASI,S1,23.0,1.027,Tidak Ada
28,3612216,SOSIOLOGI,S1,23.0,267.0,Tidak Ada
29,3612224,PSIKOLOGI,S1,68.0,1.722,Tidak Ada
30,3612232,PARIWISATA,S1,20.0,339.0,Tidak Ada
